date,week,tests,confirmed,deaths,recovered,region
2020-08-29,34,6573,311.0,3.0,151.0,CZ
2020-08-30,34,3946,253.0,1.0,99.0,CZ
2020-08-31,35,9371,237.0,1.0,328.0,CZ
2020-09-01,35,11137,478.0,1.0,279.0,CZ
2020-09-02,35,11810,617.0,,327.0,CZ
2020-09-03,35,11541,637.0,4.0,369.0,CZ
2020-09-04,35,13654,749.0,3.0,336.0,CZ
2020-09-05,35,7468,474.0,5.0,162.0,CZ
2020-09-06,35,4537,381.0,3.0,130.0,CZ
2020-09-07,36,11604,539.0,2.0,419.0,CZ
2020-09-08,36,16115,1090.0,5.0,344.0,CZ
2020-09-09,36,15506,1061.0,3.0,409.0,CZ
2020-09-10,36,16513,1292.0,5.0,561.0,CZ
2020-09-11,36,19217,1336.0,3.0,870.0,CZ
2020-09-12,36,13317,1427.0,6.0,725.0,CZ
2020-09-13,36,7090,744.0,5.0,703.0,CZ
2020-09-14,37,17519,959.0,6.0,976.0,CZ
2020-09-15,37,20461,1573.0,10.0,548.0,CZ
2020-09-16,37,20587,1987.0,7.0,336.0,CZ
2020-09-17,37,23591,2808.0,7.0,869.0,CZ
2020-09-18,37,21580,1881.0,12.0,1052.0,CZ
2020-09-19,37,15231,1773.0,8.0,1049.0,CZ
2020-09-20,37,10561,856.0,6.0,1190.0,CZ
2020-09-21,38,19410,1322.0,15.0,1578.0,CZ
2020-09-22,38,22400,2163.0,10.0,1018.0,CZ
2020-09-23,38,22445,2043.0,22.0,849.0,CZ
2020-09-24,38,23163,2531.0,10.0,1531.0,CZ
2020-09-25,38,23132,2862.0,10.0,1941.0,CZ
2020-09-26,38,15388,1931.0,16.0,1664.0,CZ
2020-09-27,38,10468,1274.0,16.0,2022.0,CZ
2020-09-28,39,12218,1250.0,11.0,1974.0,CZ
2020-09-29,39,18323,1921.0,21.0,1733.0,CZ
2020-09-30,39,21092,2854.0,16.0,1314.0,CZ
2020-10-01,39,23921,3442.0,29.0,1982.0,CZ
2020-10-02,39,23639,3732.0,21.0,2421.0,CZ
2020-10-03,39,15201,2510.0,13.0,2249.0,CZ
2020-10-04,39,7776,1783.0,35.0,2203.0,CZ
2020-10-05,40,17768,3027.0,29.0,2896.0,CZ
2020-10-06,40,23045,4340.0,38.0,2008.0,CZ
2020-10-07,40,24020,5147.0,51.0,1528.0,CZ
2020-10-08,40,25073,5221.0,26.0,1573.0,CZ
2020-10-09,40,27743,8336.0,61.0,2248.0,CZ
2020-10-10,40,18124,4533.0,53.0,2701.0,CZ
2020-10-11,40,11504,3017.0,42.0,2995.0,CZ
2020-10-12,41,22048,4116.0,69.0,3731.0,CZ
2020-10-13,41,31638,8002.0,53.0,2505.0,CZ
2020-10-14,41,34859,9239.0,66.0,1774.0,CZ
2020-10-15,41,34806,9312.0,62.0,3412.0,CZ
2020-10-16,41,38723,10762.0,80.0,5144.0,CZ
2020-10-17,41,29279,8549.0,81.0,5312.0,CZ
2020-10-18,41,17240,4988.0,83.0,5505.0,CZ
2020-10-19,42,31165,7894.0,109.0,6169.0,CZ
2020-10-20,42,40597,11772.0,109.0,4458.0,CZ
2020-10-21,42,45245,14725.0,130.0,3439.0,CZ
2020-10-22,42,46425,13883.0,127.0,4999.0,CZ
2020-10-23,42,45252,14926.0,124.0,8612.0,CZ
2020-10-24,42,39192,12359.0,141.0,8353.0,CZ
2020-10-25,42,21593,7209.0,154.0,11054.0,CZ
