date,confirmed,tests,deaths,recovered,region
2020-07-31,379.0,60944.0,9.0,178.0,IT
2020-08-01,295.0,60383.0,5.0,255.0,IT
2020-08-02,238.0,43269.0,8.0,231.0,IT
2020-08-03,159.0,24036.0,12.0,129.0,IT
2020-08-04,190.0,43788.0,5.0,177.0,IT
2020-08-05,384.0,56451.0,10.0,210.0,IT
2020-08-06,401.0,58673.0,6.0,347.0,IT
2020-08-07,552.0,59196.0,3.0,319.0,IT
2020-08-08,347.0,53298.0,13.0,305.0,IT
2020-08-09,463.0,37637.0,2.0,151.0,IT
2020-08-10,259.0,26432.0,4.0,150.0,IT
2020-08-11,412.0,40642.0,6.0,213.0,IT
2020-08-12,476.0,52658.0,10.0,236.0,IT
2020-08-13,522.0,51188.0,6.0,226.0,IT
2020-08-14,574.0,46723.0,3.0,403.0,IT
2020-08-15,629.0,53123.0,158.0,314.0,IT
2020-08-16,477.0,36807.0,4.0,146.0,IT
2020-08-17,320.0,30666.0,4.0,182.0,IT
2020-08-18,401.0,53976.0,5.0,174.0,IT
2020-08-19,642.0,71095.0,7.0,364.0,IT
2020-08-20,840.0,77442.0,6.0,180.0,IT
2020-08-21,947.0,71996.0,9.0,274.0,IT
2020-08-22,1071.0,77674.0,3.0,243.0,IT
2020-08-23,1209.0,67371.0,7.0,267.0,IT
2020-08-24,953.0,45914.0,4.0,192.0,IT
2020-08-25,876.0,72341.0,4.0,353.0,IT
2020-08-26,1366.0,93529.0,13.0,314.0,IT
2020-08-27,1409.0,94024.0,5.0,225.0,IT
2020-08-28,1460.0,97065.0,9.0,348.0,IT
2020-08-29,1444.0,99108.0,1.0,322.0,IT
2020-08-30,1365.0,76723.0,4.0,312.0,IT
2020-08-31,996.0,58518.0,6.0,117.0,IT
2020-09-01,975.0,81050.0,8.0,291.0,IT
2020-09-02,1326.0,102959.0,6.0,257.0,IT
2020-09-03,1397.0,92790.0,10.0,289.0,IT
2020-09-04,1732.0,113085.0,11.0,537.0,IT
2020-09-05,1693.0,107658.0,15.0,583.0,IT
2020-09-06,1297.0,76856.0,8.0,405.0,IT
2020-09-07,1150.0,52553.0,12.0,223.0,IT
2020-09-08,1369.0,92403.0,10.0,563.0,IT
2020-09-09,1430.0,95990.0,14.0,471.0,IT
2020-09-10,1597.0,94186.0,10.0,613.0,IT
2020-09-11,1616.0,98880.0,10.0,547.0,IT
2020-09-12,1501.0,92706.0,6.0,759.0,IT
2020-09-13,1456.0,72143.0,7.0,443.0,IT
2020-09-14,1008.0,45309.0,14.0,316.0,IT
2020-09-15,1229.0,80517.0,9.0,695.0,IT
2020-09-16,1452.0,100607.0,12.0,620.0,IT
2020-09-17,1583.0,101773.0,13.0,689.0,IT
2020-09-18,1907.0,99839.0,10.0,853.0,IT
2020-09-19,1637.0,103223.0,24.0,909.0,IT
2020-09-20,1587.0,83428.0,15.0,635.0,IT
2020-09-21,1350.0,55862.0,17.0,352.0,IT
2020-09-22,1391.0,87303.0,14.0,967.0,IT
2020-09-23,1640.0,103696.0,20.0,995.0,IT
2020-09-24,1786.0,108019.0,23.0,1097.0,IT
2020-09-25,1912.0,107269.0,20.0,954.0,IT
2020-09-26,1869.0,104387.0,17.0,977.0,IT
2020-09-27,1766.0,87714.0,17.0,724.0,IT
2020-09-28,1494.0,51109.0,16.0,773.0,IT
2020-09-29,1647.0,90185.0,24.0,1316.0,IT
2020-09-30,1850.0,105564.0,19.0,1198.0,IT
2020-10-01,2548.0,118236.0,24.0,1140.0,IT
2020-10-02,2499.0,120301.0,23.0,1126.0,IT
2020-10-03,2843.0,118932.0,27.0,1247.0,IT
2020-10-04,2578.0,92714.0,18.0,697.0,IT
2020-10-05,2257.0,60241.0,16.0,767.0,IT
2020-10-06,2677.0,99742.0,28.0,1418.0,IT
2020-10-07,3677.0,125314.0,31.0,1204.0,IT
2020-10-08,4458.0,128098.0,22.0,1060.0,IT
2020-10-09,5372.0,129471.0,28.0,1186.0,IT
2020-10-10,5724.0,133084.0,29.0,976.0,IT
2020-10-11,5456.0,104658.0,26.0,1184.0,IT
2020-10-12,4619.0,85442.0,39.0,891.0,IT
2020-10-13,5898.0,112544.0,41.0,1428.0,IT
2020-10-14,7332.0,152196.0,43.0,2037.0,IT
2020-10-15,8803.0,162932.0,83.0,1899.0,IT
2020-10-16,10009.0,150377.0,55.0,1908.0,IT
2020-10-17,10925.0,165837.0,47.0,1255.0,IT
2020-10-18,11705.0,146541.0,69.0,2334.0,IT
2020-10-19,9337.0,98862.0,73.0,1498.0,IT
2020-10-20,10871.0,144737.0,89.0,2046.0,IT
2020-10-21,15199.0,177848.0,127.0,2369.0,IT
2020-10-22,16078.0,170392.0,136.0,2082.0,IT
2020-10-23,19143.0,182032.0,91.0,2352.0,IT
2020-10-24,19640.0,177669.0,151.0,2309.0,IT
2020-10-25,21273.0,161880.0,128.0,2086.0,IT
2020-10-26,17007.0,124686.0,141.0,2423.0,IT
2020-10-27,21989.0,174398.0,221.0,3362.0,IT
2020-10-28,24988.0,198952.0,205.0,3416.0,IT
2020-10-29,26829.0,201452.0,217.0,3878.0,IT
2020-10-30,31079.0,215085.0,199.0,4285.0,IT
2020-10-31,31756.0,215886.0,297.0,5859.0,IT
2020-11-01,29905.0,183457.0,208.0,2954.0,IT
2020-11-02,22253.0,135731.0,233.0,3637.0,IT
2020-11-03,28241.0,182287.0,353.0,6258.0,IT
2020-11-04,30548.0,211831.0,335.0,5103.0,IT
2020-11-05,34502.0,219884.0,445.0,4961.0,IT
2020-11-06,37802.0,234245.0,446.0,10586.0,IT
2020-11-07,39809.0,231673.0,425.0,5966.0,IT
2020-11-08,32614.0,191144.0,331.0,6183.0,IT
2020-11-09,25269.0,147725.0,356.0,10215.0,IT
2020-11-10,35090.0,217758.0,580.0,17734.0,IT
2020-11-11,32961.0,225640.0,623.0,9090.0,IT
2020-11-12,37977.0,234672.0,636.0,15645.0,IT
2020-11-13,40902.0,254908.0,550.0,11480.0,IT
2020-11-14,37249.0,227695.0,544.0,12196.0,IT
2020-11-15,33977.0,195275.0,546.0,9376.0,IT
2020-11-16,27352.0,152663.0,504.0,21554.0,IT
2020-11-17,32191.0,208458.0,731.0,15434.0,IT
2020-11-18,34280.0,234834.0,753.0,24169.0,IT
2020-11-19,36176.0,250186.0,653.0,17020.0,IT
2020-11-20,37239.0,238077.0,699.0,21035.0,IT
2020-11-21,34764.0,237225.0,692.0,19502.0,IT
2020-11-22,28337.0,188747.0,562.0,13574.0,IT
2020-11-23,22927.0,148945.0,630.0,31395.0,IT
2020-11-24,23227.0,188659.0,853.0,20837.0,IT
2020-11-25,25852.0,230007.0,722.0,31819.0,IT
2020-11-26,29001.0,232711.0,822.0,24031.0,IT
2020-11-27,28342.0,222803.0,827.0,35467.0,IT
