date,week,region,deaths,tests
2020-07-01,27,PL81,1.0,0.0
2020-07-01,27,PL9,8.0,0.0
2020-07-02,27,PL22,2.0,0.0
2020-07-02,27,PL41,1.0,0.0
2020-07-02,27,PL51,6.0,0.0
2020-07-02,27,PL71,4.0,0.0
2020-07-02,27,PL72,1.0,0.0
2020-07-02,27,PL82,1.0,0.0
2020-07-03,27,PL22,5.0,0.0
2020-07-03,27,PL41,1.0,0.0
2020-07-03,27,PL71,4.0,0.0
2020-07-03,27,PL84,2.0,0.0
2020-07-03,27,PL9,3.0,0.0
2020-07-04,27,PL22,1.0,0.0
2020-07-04,27,PL71,2.0,0.0
2020-07-04,27,PL9,1.0,0.0
2020-07-05,27,PL22,1.0,0.0
2020-07-05,27,PL71,1.0,0.0
2020-07-05,27,PL82,1.0,0.0
2020-07-05,27,PL9,2.0,0.0
2020-07-06,28,PL22,1.0,0.0
2020-07-06,28,PL82,3.0,0.0
2020-07-07,28,PL22,2.0,21516.0
2020-07-07,28,PL41,2.0,11615.0
2020-07-07,28,PL71,1.0,9361.0
2020-07-07,28,PL81,1.0,5085.0
2020-07-07,28,PL84,1.0,3932.0
2020-07-08,28,PL22,5.0,0.0
2020-07-08,28,PL41,1.0,0.0
2020-07-08,28,PL42,1.0,0.0
2020-07-08,28,PL51,1.0,0.0
2020-07-08,28,PL71,4.0,0.0
2020-07-08,28,PL72,1.0,0.0
2020-07-08,28,PL9,2.0,0.0
2020-07-09,28,PL21,1.0,0.0
2020-07-09,28,PL22,2.0,0.0
2020-07-09,28,PL52,2.0,0.0
2020-07-09,28,PL71,2.0,0.0
2020-07-09,28,PL9,2.0,0.0
2020-07-10,28,PL22,3.0,0.0
2020-07-10,28,PL41,3.0,0.0
2020-07-10,28,PL71,2.0,0.0
2020-07-10,28,PL84,2.0,0.0
2020-07-10,28,PL9,1.0,0.0
2020-07-11,28,PL22,1.0,0.0
2020-07-11,28,PL41,1.0,0.0
2020-07-11,28,PL71,1.0,0.0
2020-07-11,28,PL81,1.0,0.0
2020-07-11,28,PL84,1.0,0.0
2020-07-11,28,PL9,1.0,0.0
2020-07-12,28,PL22,1.0,0.0
2020-07-12,28,PL41,2.0,0.0
2020-07-13,29,PL22,3.0,13200.0
2020-07-13,29,PL72,1.0,27455.0
2020-07-13,29,PL9,1.0,25103.0
2020-07-14,29,PL21,1.0,0.0
2020-07-14,29,PL22,6.0,0.0
