date,week,region,tests,confirmed,deaths,recovered
2020-03-20,12,CZ063,0.0,4.0,0.0,0.0
2020-03-20,12,CZ064,0.0,8.0,0.0,1.0
2020-03-20,12,CZ071,0.0,5.0,0.0,0.0
2020-03-20,12,CZ080,0.0,16.0,0.0,0.0
2020-03-21,12,CZ010,0.0,63.0,0.0,5.0
2020-03-21,12,CZ020,0.0,13.0,0.0,0.0
2020-03-21,12,CZ031,0.0,1.0,0.0,0.0
2020-03-21,12,CZ032,0.0,1.0,0.0,0.0
2020-03-21,12,CZ041,0.0,2.0,0.0,0.0
2020-03-21,12,CZ042,0.0,2.0,0.0,0.0
2020-03-21,12,CZ051,0.0,3.0,0.0,0.0
2020-03-21,12,CZ052,0.0,2.0,0.0,0.0
2020-03-21,12,CZ053,0.0,5.0,0.0,0.0
2020-03-21,12,CZ063,0.0,7.0,0.0,0.0
2020-03-21,12,CZ064,0.0,19.0,0.0,0.0
2020-03-21,12,CZ071,0.0,10.0,0.0,0.0
2020-03-21,12,CZ072,0.0,9.0,0.0,0.0
2020-03-21,12,CZ080,0.0,18.0,0.0,0.0
2020-03-22,12,CZ010,0.0,26.0,1.0,0.0
2020-03-22,12,CZ020,0.0,22.0,0.0,0.0
2020-03-22,12,CZ041,0.0,2.0,0.0,0.0
2020-03-22,12,CZ042,0.0,5.0,0.0,0.0
2020-03-22,12,CZ051,0.0,2.0,0.0,0.0
2020-03-22,12,CZ052,0.0,1.0,0.0,0.0
2020-03-22,12,CZ053,0.0,3.0,0.0,0.0
2020-03-22,12,CZ064,0.0,7.0,0.0,0.0
2020-03-22,12,CZ071,0.0,22.0,0.0,0.0
2020-03-22,12,CZ072,0.0,7.0,0.0,0.0
2020-03-22,12,CZ080,0.0,18.0,0.0,0.0
2020-03-23,13,CZ010,0.0,37.0,0.0,2.0
2020-03-23,13,CZ020,0.0,15.0,0.0,1.0
2020-03-23,13,CZ031,0.0,3.0,0.0,0.0
2020-03-23,13,CZ032,0.0,2.0,0.0,0.0
2020-03-23,13,CZ041,0.0,6.0,0.0,0.0
2020-03-23,13,CZ042,0.0,3.0,0.0,0.0
2020-03-23,13,CZ051,0.0,1.0,0.0,0.0
