"","V1","V2","V3","V4","V5"
"44",6.24913183648847e-06,6.85579026013981e-06,3.23720960014975e-05,6.10792025555865e-05,0.000492226848578019
"45",4.10140851017219e-06,1.20673172250934e-05,9.33002577533776e-06,8.88581893605655e-05,0.000419976144506227
"46",1.21842448452481e-06,1.67590777428923e-05,2.88870738499333e-05,0.000129904247665374,0.000523040048766869
"47",4.32664528790644e-06,4.83618532879221e-06,3.80600825655878e-05,2.43122375881808e-05,0.000297787826870842
"48",5.5747361191188e-06,4.00324644771949e-06,2.18955559660554e-05,9.17625201629473e-05,0.000120669306737252
"49",5.24174120460423e-06,9.9798068246052e-06,7.47730451109425e-06,3.98270235382633e-05,0.000260627832959854
"50",5.77148267036845e-06,1.80229481581544e-05,3.29010322871718e-05,4.23381094602097e-05,0.000429147697804944
"51",8.83179985899815e-06,1.30992231052942e-05,6.39809408429289e-06,0.000107280364037153,0.000595203593123108
"52",5.12065462712211e-06,1.00841440175091e-05,5.01819120398224e-05,0.000159884312048685,0.000375244541586109
"53",3.27781569559421e-06,4.9374876088721e-06,5.42587887952326e-05,0.000107268387182071,0.0003177842152261
"54",4.96324886525497e-06,5.41269527170602e-06,2.05062449545709e-05,0.000111489102917954,0.000541187358945274
"55",5.92585503432527e-06,1.34959181144944e-05,4.18397707057614e-05,0.000195865789696502,0.000524942366994262
"56",1.27648990483243e-05,1.07381918446788e-05,1.48287999108476e-05,0.000157749539324938,0.00140074390537077
"57",5.81081141713616e-06,9.40783676648892e-06,1.44718240826807e-05,0.000147785900038886,0.00060725488218303
"58",5.39617865632651e-06,9.79316424245523e-06,2.79826715444278e-05,3.63692968292657e-05,0.000987923963162731
"59",7.62434031202593e-06,1.00558817970095e-05,1.27329211378418e-05,1.93728099375945e-05,0.000425375139716417
"60",3.06139040665826e-06,1.98661051448373e-05,1.56276256160931e-05,5.87549217870456e-05,0.000625689867095139
"61",5.07958516754688e-06,1.06748371338047e-05,7.27081556523884e-06,6.90831560569678e-05,0.000362191689486048
"62",9.70694844986006e-06,9.21930402417832e-06,3.81867148437932e-05,0.000142857278510035,0.000345214607016552
"63",1.68268260998464e-05,1.28710381702242e-05,3.70547026043618e-05,0.000223547693070286,0.001100220661505
"64",4.9050716338207e-06,2.57710627220285e-06,2.24608142112373e-05,0.000155744462610873,0.000113629041216648
"65",5.31409812947627e-06,1.4199419758233e-05,5.62254830118302e-05,0.000182727935945725,0.000279545122094576
"66",8.89169119390892e-06,8.50091116282789e-06,2.11526060444191e-05,0.000138383724535951,0.000106328381276765
"67",4.35294325388179e-06,5.06592236711941e-06,2.45430863255046e-05,8.49722649156871e-05,0.00043525718371157
"68",3.61333295278397e-06,1.36321960353372e-05,3.36709930378874e-05,3.85895820816347e-05,0.000609037282589776
"69",4.8783824748112e-06,1.19831645809072e-05,1.2364565180081e-05,9.92021261409632e-05,0.000707675137120852
"70",6.97690277270044e-06,1.0128612948853e-05,2.99272983841069e-05,0.0001163400779848,0.000754345299336004
"71",3.34350937640688e-06,9.17205976420302e-06,3.7851948333359e-05,5.60678629213733e-05,0.000244406059698317
"72",9.82965826978914e-06,8.83649082230537e-06,2.01110870108161e-05,0.000121259604015306,0.000507174628415792
"73",7.49334573884202e-06,2.47566859968006e-05,3.74593687756296e-05,0.000107288306871315,0.000265725864530934
"74",1.09863160293143e-05,8.88084944681189e-06,1.40648055302692e-05,7.84515883413645e-05,3.25808584618379e-05
"75",8.34473245850347e-06,1.97839068174814e-06,2.31842528915519e-05,0.00018491491171641,0.000266574211602028
"76",9.0443725888134e-06,5.88530787296865e-06,1.72097580815429e-05,3.79132062583256e-05,0.000371121447875338
"77",4.04115732974133e-06,7.95956921234443e-06,1.41801320027001e-05,6.35549021867971e-05,0.000242883201510991
"78",3.56078129982673e-06,9.20463051179773e-06,2.42003839717429e-05,6.76937176664367e-05,0.000397321781433031
"79",3.32866078166391e-06,1.91719619556241e-05,1.24904211265675e-05,0.000169726391316849,0.000150925371815171
"80",4.16262329034898e-06,1.20867019707331e-05,2.03379930095658e-05,3.66229818283652e-05,0.000590162838211916
"81",1.94484350556594e-05,8.80377098673007e-06,8.03049988253087e-06,0.00018278403939119,0.000396215568216657
"82",7.51015931186884e-06,8.67598082143454e-06,2.82266160163797e-05,2.7960218114266e-05,0.000672136834860412
"83",4.95786925231184e-06,1.59772339863688e-06,3.04936953768793e-05,7.67889832907798e-05,0.000441830535667276
"84",4.43161567477167e-06,1.49050628741072e-05,4.7284557026311e-05,5.16447782041631e-05,0.000461789827024846
"85",2.76361518130916e-06,1.20659252236196e-05,1.81809938264024e-05,2.66826977697661e-05,0.00083754722807145
"86",4.44935731938105e-06,4.6863127707139e-06,1.61262860099673e-05,8.03952801984532e-05,0.000502859513651403
"87",6.8565033592578e-06,1.02697937405365e-05,1.67782215250672e-05,0.000216188030946398,4.54736512444881e-05
"88",5.99719445072743e-06,8.54306184062858e-06,7.29484022205526e-05,2.15023917563974e-05,0.000343606730254599
"89",1.26939059033026e-05,7.19660324413739e-06,7.84874780057943e-06,8.78424404231623e-05,0.000350134421057832
"90",4.28215998189702e-06,2.20626873681965e-05,2.45613945827178e-05,5.2430496238201e-05,0.000616599722115668
"91",1.00740890914396e-05,7.35075042995977e-06,3.97636508219412e-05,0.000172793584750569,6.60072818057981e-05
"92",8.54150707226157e-06,5.8971987488515e-06,2.51773105747829e-05,0.000185465293800726,0.000408460004503549
"93",4.76409300946767e-06,4.69827539205458e-06,3.5883657435546e-05,2.27080841612599e-05,0.000170173045400312
"94",7.82155474185751e-06,1.64340105638645e-05,3.91040360965159e-05,5.89925543263301e-05,0.000314340831446668
"95",1.18868996241629e-05,1.31146528428292e-05,6.97596222527678e-05,8.54338995821173e-05,0.000713569143203921
