"","dates","a","c","b","d","S","E","I","R","D","T","Tcum"
"119","2020-06-20",0.240080388437491,1,0.00336889443156381,0.00985244209412485,0.165188018242388,0.00847547068372658,0.046102520426691,0.581877268531401,0.198356722115793,1699,519558
"120","2020-06-21",0.240080388437491,1,0.00336889443156381,0.00985244209412485,0.16334838075784,0.00860681581058228,0.0471940729969381,0.582034418395305,0.198816312039333,1313,520871
"121","2020-06-21",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.161505428768686,0.00871742975455289,0.0484455312242552,0.582072259714712,0.199259350537794,1313,520871
"122","2020-06-22",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.159635673474735,0.00883227026192906,0.0497069318498267,0.582111095253872,0.199714029159636,3910,524781
"123","2020-06-23",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.157740149542086,0.00894963336520267,0.0509788410548782,0.582150933127505,0.200180442910329,4567,529348
"124","2020-06-24",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.155819901315557,0.00906811502627447,0.0522615113488864,0.582191781770099,0.200658690539183,4287,533635
"125","2020-06-25",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.153875992939354,0.00918654763954977,0.0535549378063113,0.582233649710823,0.201148871903961,4047,537682
"126","2020-06-26",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.151909515860646,0.00930395040849408,0.0548589025429779,0.582276545388082,0.2016510857998,4533,542215
"127","2020-06-27",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.149921594220184,0.0094194906257557,0.0561730100026917,0.58232047699549,0.202165428155878,2554,544769
"128","2020-06-28",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.147913388525249,0.00953245352355564,0.0574967150739595,0.582365452352812,0.202691990524422,2423,547192
"129","2020-06-29",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.145886097915534,0.0096422188604159,0.0588293456239291,0.582411478796855,0.203230858803265,4485,551677
"130","2020-06-30",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.143840961266876,0.00974824280202813,0.0601701206964561,0.582458563088397,0.203782112146242,4412,556089
"131","2020-07-01",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.141779257326919,0.00985004396137206,0.0615181653535926,0.582506711332141,0.204345822025974,4593,560682
"132","2020-07-02",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.139702304037565,0.00994719270429116,0.0628725229291581,0.582555928907339,0.204922051421647,4665,565347
"133","2020-07-03",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.137611457168981,0.010039303015915,0.064232165297109,0.582606220407292,0.205510854110703,5109,570456
"134","2020-07-04",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.135508108366929,0.0101260263717953,0.0655960016265714,0.582657589586352,0.206112274048351,1687,572143
"135","2020-07-05",0.237279468972702,1,0.000791344739587878,0.00926490383222699,0.133393682697702,0.0102070471741945,0.0669628859920975,0.582710039313381,0.206726344822623,1524,573667
"136","2020-07-05",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.131216353922815,0.010330335690342,0.0682784782086967,0.582796282109916,0.207378550068231,1524,573667
"137","2020-07-06",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.129033100601761,0.0104366269371791,0.0696025755871532,0.582884208616682,0.208043488257225,1714,575381
"138","2020-07-07",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.126845201394394,0.0105278416070292,0.0709319041525534,0.582973827548815,0.208721225297209,4159,579540
"139","2020-07-08",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.124654022192873,0.0106054734902866,0.0722635632336477,0.583065143693354,0.20941179738984,5406,584946
"140","2020-07-09",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.122460996515362,0.0106706845766514,0.0735949463413302,0.583158158332789,0.210115214233868,4682,589628
"141","2020-07-10",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.120267609020369,0.0107243801006276,0.0749236797458064,0.583252869579431,0.210831461553767,5333,594961
"142","2020-07-11",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.118075381465503,0.0107672677769975,0.0762475750109078,0.58334927264069,0.211560503105903,2321,597282
"143","2020-07-12",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.115885860590613,0.0107999045614194,0.0775645925347866,0.583447360031114,0.212302282282067,1787,599069
"144","2020-07-13",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.113700607526933,0.0108227335569034,0.0788728137676242,0.583547121743685,0.213056723404855,4424,603493
"145","2020-07-14",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.111521188428613,0.0108361131263429,0.0801704202654812,0.583648545390203,0.213823732789361,4802,608295
"146","2020-07-15",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.109349166096698,0.0108403398313385,0.0814556781236071,0.583751616318533,0.214603199629824,4694,612989
"147","2020-07-16",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.107186092422763,0.0108356664722638,0.0827269266348413,0.583856317712801,0.215394996757332,4730,617719
"148","2020-07-17",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.10503350152362,0.0108223162335297,0.0839825702567941,0.583962630681311,0.216198981304745,4727,622446
"149","2020-07-18",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.10289290347253,0.0108004937253226,0.0852210731590984,0.584070534335947,0.217014995307102,2334,624780
"150","2020-07-19",0.243379196238994,1,0.00127540697086127,0.00964517791760991,0.100765778558327,0.0107703935462074,0.0864409557700368,0.584180005865936,0.217842866259494,1830,626610
"151","2020-07-19",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0998475096925322,0.0096498410992975,0.084262212525111,0.587952856216811,0.218287580466248,1830,626610
"152","2020-07-20",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0989612736488629,0.00870337293860801,0.0819875331656298,0.591627143428842,0.218720676818057,5785,632395
"153","2020-07-21",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0981071802666348,0.00789933906425117,0.0796522908048364,0.595199438708791,0.219141751155486,6089,638484
"154","2020-07-22",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0972850107663171,0.00721212308734926,0.0772845917959857,0.59866771035319,0.219550563997159,6609,645093
"155","2020-07-23",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0964943004949385,0.00662097382665667,0.0749066843820411,0.602031034813944,0.219947006482421,5557,650650
"156","2020-07-24",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0957344038574446,0.00610906478429313,0.0725360946605686,0.605289363780853,0.220331072916842,6238,656888
"157","2020-07-25",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0950045451271074,0.00566273685847775,0.0701865429273454,0.608443336443912,0.220702838643158,3337,660225
"158","2020-07-26",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0943038580771599,0.00527088842152955,0.0678686830866183,0.611494128205989,0.221062442208704,1784,662009
"159","2020-07-27",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0936314167734175,0.00492448393781416,0.0655906994763179,0.614443328812203,0.221410071000248,6552,668561
"160","2020-07-28",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0929862593860522,0.00461615795631891,0.0633587887526661,0.617292844226939,0.221745949678024,7909,676470
"161","2020-07-29",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0923674064946676,0.00433989585843353,0.061177549088856,0.620044817687854,0.22207033087019,7509,683979
