"","draw","date","s","e","i","r","d"
"4138",83,2020-11-28,10597198.4551243,9.55163016374247,2.62226118378693,10658342.7033783,10629823.0690461
"4139",83,2020-11-29,10597197.3895824,0.504471213009774,12.1277280441159,10658343.2759518,10629823.1037065
"4140",83,2020-11-30,10597191.4145083,2.7901527689788,12.7656065540959,10658346.1464495,10629823.2847229
"4141",83,2020-12-01,10597184.578715,7.60116652729985,12.4566879990338,10658348.3167342,10629823.4481363
"4142",83,2020-12-02,10597178.4133566,8.633709846726,15.4313369441928,10658350.3255003,10629823.5975363
"4143",83,2020-12-03,10597169.6304349,12.8889927892143,16.8805933422267,10658353.190905,10629823.810514
"4144",83,2020-12-04,10597159.9491564,15.9899760167323,20.0679037866215,10658356.3491379,10629824.0452659
"4145",83,2020-12-05,10597148.6185115,18.9450300351205,24.4724544447507,10658360.0454321,10629824.320012
"4146",83,2020-12-06,10597134.8087133,24.7667868185298,27.1518179589081,10658365.0013657,10629824.6727562
"4147",83,2020-12-07,10597117.3105468,32.0120941469339,31.3571064587598,10658370.6278818,10629825.0938108
"4148",83,2020-12-08,10597095.1130701,37.6198800412026,41.6816121138497,10658376.4125913,10629825.5742865
"4149",83,2020-12-09,10597071.3791415,39.7468143213846,55.2270503148196,10658383.9084276,10629826.1400062
"4150",83,2020-12-10,10597054.1072294,36.0138530562787,62.7931307403322,10658396.6466568,10629826.8405701
"4151",84,2020-10-22,10597327.1295343,3703.9002391577,10630.1249804179,10643893.4176572,10629821.8290289
"4152",84,2020-10-23,10597275.8605563,1462.71468982778,5397.27827950353,10651418.6502688,10629821.8976456
"4153",84,2020-10-24,10597250.541227,580.576826852901,2588.3308117684,10655135.0210422,10629821.9315322
"4154",84,2020-10-25,10597238.6004785,230.440722788736,1197.72571483555,10656887.6870105,10629821.9475134
"4155",84,2020-10-26,10597233.1400041,92.9340123461233,539.195116747987,10657689.1774853,10629821.9548216
"4156",84,2020-10-27,10597230.7062765,37.9521991954417,239.383829450162,10658046.401056,10629821.9580788
"4157",84,2020-10-28,10597229.6169003,14.8185187641297,103.706277457585,10658206.3002067,10629821.9595368
"4158",84,2020-10-29,10597229.1618351,6.50185129717574,45.6827185659675,10658273.0948892,10629821.9601459
"4159",84,2020-10-30,10597228.9263867,3.4652378414617,20.2643150944551,10658301.7795681,10629821.9659322
"4160",84,2020-10-31,10597228.7498684,1.57494554736509,7.68193056654229,10658316.4180299,10629821.9766656
"4161",84,2020-11-01,10597228.5423846,0.776447702946536,6.08242774988482,10658318.9972755,10629822.0029045
"4162",84,2020-11-02,10597227.5106256,1.81448994479147,1.12641564851004,10658326.0639925,10629822.1387476
"4163",84,2020-11-03,10597227.3897751,1.35026415893981,1.39737381420351,10658326.904127,10629822.1546475
"4164",84,2020-11-04,10597228.2327631,0.843866184609037,5.92498918207524,10658321.0438151,10629822.0437388
"4165",84,2020-11-05,10597227.1229159,1.14370658426581,2.81423542823548,10658328.7592957,10629822.1897572
"4166",84,2020-11-06,10597226.5042446,2.22072650432678,7.65489101755186,10658333.0602063,10629822.2711536
"4167",84,2020-11-07,10597228.3393464,1.7007629872801,7.43026373088536,10658320.3028766,10629822.0297163
"4168",84,2020-11-08,10597228.3291088,1.76355139417866,7.43077841720818,10658320.3740411,10629822.0310631
"4169",84,2020-11-09,10597227.6367595,0.388245034939756,1.84363314818126,10658325.1871396,10629822.1221528
"4170",84,2020-11-10,10597227.6253874,0.4155479420503,2.06271016590911,10658325.0094327,10629822.1194576
"4171",84,2020-11-11,10597225.8510354,2.30673870950381,0.780684614448162,10658326.8428757,10629822.1814748
"4172",84,2020-11-12,10597226.4580439,0.0578483839595983,1.62888591822632,10658326.212157,10629822.1602016
"4173",84,2020-11-13,10597225.8363883,0.128649961829888,1.78062171397712,10658326.7331317,10629822.1799482
"4174",84,2020-11-14,10597224.1012182,1.86957594533636,0.118175606463308,10658328.0791698,10629822.2333004
"4175",84,2020-11-15,10597224.8143008,0.941777706678659,2.79153670569978,10658327.5260053,10629822.2113749
"4176",84,2020-11-16,10597218.9434942,8.77477425646344,5.78894621909366,10658332.0802295,10629822.3918883
"4177",84,2020-11-17,10597222.5605692,0.144076665530595,2.14180270114056,10658329.2743195,10629822.2806719
"4178",84,2020-11-18,10597225.020139,6.39963080075691,8.20956617844883,10658327.3663201,10629822.2050456
"4179",84,2020-11-19,10597220.1911778,0.90728371349912,1.83712134166955,10658331.1123329,10629822.3535243
"4180",84,2020-11-20,10597219.6015692,0.108610987929047,2.82442858845126,10658331.4941923,10629822.3726389
"4181",84,2020-11-21,10597217.2592447,3.07444226263482,0.827054426769442,10658332.7892304,10629822.4514682
"4182",84,2020-11-22,10597217.6124357,1.68090415241404,5.4382962118742,10658332.5920047,10629822.4396075
"4183",84,2020-11-23,10597213.0451387,6.02319003133275,0.298535596269748,10658335.0372877,10629822.5943591
"4184",84,2020-11-24,10597213.5093387,0.535299457170029,6.05999764537659,10658334.7887725,10629822.5786306
"4185",84,2020-11-25,10597210.2329136,1.94773583011928,4.98830109518064,10658336.5428442,10629822.6896453
"4186",84,2020-11-26,10597205.9548307,5.97762661711937,2.80121480270421,10658338.8331686,10629822.8345992
"4187",84,2020-11-27,10597206.051605,3.02308038750128,11.7602364648355,10658338.7813587,10629822.8313202
"4188",84,2020-11-28,10597197.4516144,9.65025332134626,2.79138774930547,10658343.3854714,10629823.1227131
"4189",84,2020-11-29,10597196.2418135,0.707699957789065,12.2550685729614,10658344.0331533,10629823.1637047
"4190",84,2020-11-30,10597190.1929304,2.86196728486784,13.0551355110419,10658346.9370335,10629823.3543733
"4191",84,2020-12-01,10597183.1744098,7.81921564621082,12.7164905772701,10658349.1644894,10629823.5268346
"4192",84,2020-12-02,10597176.8520464,8.88997179797023,15.7592327432017,10658351.2160743,10629823.6841148
"4193",84,2020-12-03,10597167.8606664,13.223146947898,17.2692326716866,10658354.1403219,10629823.9080721
"4194",84,2020-12-04,10597157.9256548,16.4189989953888,20.530289134024,10658357.3709842,10629824.1555129
"4195",84,2020-12-05,10597146.3025363,19.4509925471433,25.0523249784931,10658361.1505883,10629824.4449979
"4196",84,2020-12-06,10597132.1103942,25.389628746212,27.888300448571,10658366.1970721,10629824.8160445
"4197",84,2020-12-07,10597114.1431411,32.8460145875347,32.2017797961534,10658371.9505959,10629825.2599087
"4198",84,2020-12-08,10597091.3720437,38.6386774425886,42.7210795503882,10658377.9018043,10629825.767835
"4199",84,2020-12-09,10597067.0256441,40.8513818842031,56.5418261039542,10658385.6166155,10629826.3659723
