"","V1","V2"
"65",5.1032996289794e-05,2.42505898106363e-05
"66",5.04589691231402e-05,7.18151843903575e-05
"67",4.63064262268497e-06,4.94607983344892e-05
"68",3.54365388293442e-05,0.000158735026672459
"69",8.81134240262224e-06,0.000119258492093061
"70",4.46485885433832e-06,6.38241940143167e-05
"71",3.71186032363379e-05,4.77474477419089e-05
"72",2.60296476023247e-05,5.33767366749645e-05
"73",5.11073377678052e-05,6.34775068657116e-05
"74",2.13610171458498e-05,0.000107095990032442
"75",2.70321262848663e-05,0.000128015176562443
"76",3.69726622670818e-05,3.768942186704e-05
"77",3.20650242922762e-05,2.25958548373776e-05
"78",3.53866832086713e-05,0.000213881034967159
"79",1.11598309979851e-05,0.00015963694415965
"80",3.99489260164308e-05,7.96626536790189e-05
"81",2.8214883757016e-05,7.90645517839217e-05
"82",3.60139844910718e-05,0.00011366684895935
"83",1.32299595372416e-05,4.70596887066496e-05
"84",1.42752536128674e-05,0.000138200054898047
"85",4.38792592211639e-05,3.69938235461768e-05
"86",3.96385636279925e-05,0.000122929820806808
"87",4.32687387827255e-05,5.38076126604154e-05
"88",2.3484960161076e-05,0.000115229384149982
"89",5.80573376715276e-05,1.91518348689874e-05
"90",2.08097887896809e-05,7.53326401581124e-05
"91",1.61482503788528e-05,0.000116122700172269
"92",1.31509832012906e-05,3.61990196843898e-05
"93",1.46467723963131e-05,5.88917395065183e-05
"94",1.45833451429046e-05,0.000140205828324436
"95",1.24526378837535e-05,0.000128650480272468
"96",1.36124400623282e-05,3.8526166860323e-05
"97",1.42119033621424e-05,0.000157741586117745
"98",2.0443225624383e-05,3.85004076305042e-05
"99",2.03493165507792e-05,3.80642336400074e-05
"100",9.84759798337692e-06,1.88244744063917e-05
"101",2.72710496662143e-05,0.000145632736171171
"102",5.47911754434398e-05,5.4094522999235e-05
"103",1.86497707714951e-05,0.000108632287172029
"104",2.93763199982146e-05,9.90196653982961e-05
"105",1.90868120280792e-05,8.42908594448767e-05
"106",1.99993618942976e-05,3.0962703928317e-05
"107",2.45945664368994e-05,5.06052814655791e-05
"108",3.78794767841936e-05,0.000110181333625455
"109",4.42150615497389e-05,0.000179155486329524
"110",1.90100225363663e-05,7.28383060094655e-05
"111",3.67294226744779e-05,4.01289644225446e-05
"112",2.37186940009083e-05,1.87680968922225e-05
"113",1.37956730976088e-05,9.80782649983241e-05
"114",1.27963221616952e-05,3.58463532536003e-05
"115",4.34449114121062e-06,0.000158317900220519
"116",8.78696490583532e-06,3.87592690249071e-05
"117",6.86242230421556e-06,7.6726245506721e-05
"118",3.47323051325516e-05,4.98791548240546e-05
"119",3.80446867580329e-05,6.10273710723613e-05
"120",1.29590047469693e-05,0.000112355206489866
"121",6.65220594752927e-06,0.000165282401931954
"122",8.12652783972574e-06,7.40193236508811e-05
"123",2.56897834712926e-05,4.07002603691489e-05
"124",4.23102183682225e-05,0.000130301649164695
"125",3.19648469022246e-05,0.000142491653046283
"126",1.31890137721609e-05,6.38297228454662e-05
"127",4.16550769487418e-05,0.000116987982241789
"128",2.42266657920789e-05,0.000183249196926818
"129",8.92281637027846e-05,0.000101181106611048
