,date,week,region,deaths,tests,confirmed
268,2020-03-20,11,PL81,0.0,0.0,3.0
269,2020-03-20,11,PL82,0.0,0.0,2.0
270,2020-03-20,11,PL84,0.0,0.0,2.0
271,2020-03-20,11,PL9,0.0,0.0,25.0
272,2020-03-21,11,PL21,0.0,0.0,2.0
273,2020-03-21,11,PL22,0.0,0.0,10.0
274,2020-03-21,11,PL41,0.0,0.0,13.0
275,2020-03-21,11,PL42,0.0,0.0,1.0
276,2020-03-21,11,PL43,0.0,0.0,0.0
277,2020-03-21,11,PL51,0.0,0.0,8.0
278,2020-03-21,11,PL52,0.0,0.0,0.0
279,2020-03-21,11,PL61,0.0,0.0,4.0
280,2020-03-21,11,PL62,0.0,0.0,3.0
281,2020-03-21,11,PL63,0.0,0.0,4.0
282,2020-03-21,11,PL71,0.0,0.0,34.0
283,2020-03-21,11,PL72,0.0,0.0,1.0
284,2020-03-21,11,PL81,0.0,0.0,3.0
285,2020-03-21,11,PL82,0.0,0.0,6.0
286,2020-03-21,11,PL84,0.0,0.0,2.0
287,2020-03-21,11,PL9,0.0,0.0,20.0
288,2020-03-22,11,PL21,0.0,0.0,8.0
289,2020-03-22,11,PL22,0.0,0.0,10.0
290,2020-03-22,11,PL41,1.0,0.0,6.0
291,2020-03-22,11,PL42,0.0,0.0,2.0
292,2020-03-22,11,PL43,0.0,0.0,2.0
293,2020-03-22,11,PL51,0.0,0.0,13.0
294,2020-03-22,11,PL52,0.0,0.0,4.0
295,2020-03-22,11,PL61,0.0,0.0,0.0
296,2020-03-22,11,PL62,0.0,0.0,2.0
297,2020-03-22,11,PL63,0.0,0.0,3.0
298,2020-03-22,11,PL71,0.0,0.0,15.0
299,2020-03-22,11,PL72,0.0,0.0,0.0
300,2020-03-22,11,PL81,0.0,0.0,8.0
301,2020-03-22,11,PL82,0.0,0.0,4.0
302,2020-03-22,11,PL84,0.0,0.0,1.0
303,2020-03-22,11,PL9,1.0,0.0,20.0
304,2020-03-23,12,PL21,0.0,0.0,9.0
305,2020-03-23,12,PL22,1.0,0.0,11.0
306,2020-03-23,12,PL41,0.0,0.0,4.0
307,2020-03-23,12,PL42,0.0,0.0,4.0
308,2020-03-23,12,PL43,0.0,0.0,5.0
309,2020-03-23,12,PL51,0.0,0.0,22.0
310,2020-03-23,12,PL52,0.0,0.0,5.0
311,2020-03-23,12,PL61,0.0,0.0,3.0
312,2020-03-23,12,PL62,0.0,0.0,3.0
313,2020-03-23,12,PL63,0.0,0.0,4.0
314,2020-03-23,12,PL71,0.0,0.0,5.0
315,2020-03-23,12,PL72,0.0,0.0,1.0
316,2020-03-23,12,PL81,0.0,0.0,9.0
317,2020-03-23,12,PL82,0.0,0.0,1.0
318,2020-03-23,12,PL84,0.0,0.0,1.0
319,2020-03-23,12,PL9,0.0,0.0,28.0
320,2020-03-24,12,PL21,0.0,0.0,16.0
321,2020-03-24,12,PL22,1.0,0.0,10.0
322,2020-03-24,12,PL41,0.0,0.0,1.0
323,2020-03-24,12,PL42,0.0,0.0,11.0
324,2020-03-24,12,PL43,0.0,0.0,5.0
325,2020-03-24,12,PL51,0.0,0.0,33.0
326,2020-03-24,12,PL52,0.0,0.0,2.0
327,2020-03-24,12,PL61,0.0,0.0,1.0
328,2020-03-24,12,PL62,0.0,0.0,4.0
329,2020-03-24,12,PL63,0.0,0.0,1.0
330,2020-03-24,12,PL71,0.0,0.0,18.0
331,2020-03-24,12,PL72,0.0,0.0,0.0
332,2020-03-24,12,PL81,1.0,0.0,6.0
333,2020-03-24,12,PL82,0.0,0.0,7.0
334,2020-03-24,12,PL84,0.0,0.0,0.0
335,2020-03-24,12,PL9,0.0,0.0,37.0
336,2020-03-25,12,PL21,0.0,0.0,7.0
337,2020-03-25,12,PL22,0.0,0.0,20.0
338,2020-03-25,12,PL41,0.0,0.0,15.0
339,2020-03-25,12,PL42,0.0,0.0,4.0
340,2020-03-25,12,PL43,0.0,0.0,2.0
341,2020-03-25,12,PL51,3.0,0.0,16.0
342,2020-03-25,12,PL52,0.0,0.0,2.0
343,2020-03-25,12,PL61,0.0,0.0,5.0
344,2020-03-25,12,PL62,0.0,0.0,4.0
345,2020-03-25,12,PL63,0.0,0.0,0.0
346,2020-03-25,12,PL71,0.0,0.0,15.0
347,2020-03-25,12,PL72,1.0,0.0,6.0
348,2020-03-25,12,PL81,0.0,0.0,6.0
349,2020-03-25,12,PL82,0.0,0.0,6.0
350,2020-03-25,12,PL84,0.0,0.0,3.0
351,2020-03-25,12,PL9,0.0,0.0,39.0
352,2020-03-26,12,PL21,0.0,0.0,13.0
353,2020-03-26,12,PL22,0.0,0.0,20.0
354,2020-03-26,12,PL41,0.0,0.0,12.0
355,2020-03-26,12,PL42,0.0,0.0,2.0
356,2020-03-26,12,PL43,0.0,0.0,7.0
357,2020-03-26,12,PL51,0.0,0.0,15.0
358,2020-03-26,12,PL52,0.0,0.0,3.0
359,2020-03-26,12,PL61,0.0,0.0,4.0
360,2020-03-26,12,PL62,0.0,0.0,6.0
361,2020-03-26,12,PL63,0.0,0.0,6.0
362,2020-03-26,12,PL71,0.0,0.0,14.0
363,2020-03-26,12,PL72,0.0,0.0,1.0
364,2020-03-26,12,PL81,0.0,0.0,14.0
365,2020-03-26,12,PL82,0.0,0.0,10.0
366,2020-03-26,12,PL84,0.0,0.0,3.0
367,2020-03-26,12,PL9,2.0,0.0,40.0
368,2020-03-27,12,PL21,0.0,0.0,24.0
369,2020-03-27,12,PL22,0.0,0.0,14.0
370,2020-03-27,12,PL41,0.0,0.0,21.0
371,2020-03-27,12,PL42,0.0,0.0,7.0
372,2020-03-27,12,PL43,0.0,0.0,1.0
373,2020-03-27,12,PL51,0.0,0.0,28.0
374,2020-03-27,12,PL52,0.0,0.0,2.0
375,2020-03-27,12,PL61,0.0,0.0,2.0
376,2020-03-27,12,PL62,0.0,0.0,5.0
377,2020-03-27,12,PL63,0.0,0.0,4.0
378,2020-03-27,12,PL71,0.0,0.0,10.0
379,2020-03-27,12,PL72,0.0,0.0,7.0
380,2020-03-27,12,PL81,0.0,0.0,4.0
381,2020-03-27,12,PL82,0.0,0.0,8.0
382,2020-03-27,12,PL84,0.0,0.0,4.0
